포스터,제목,장르,러닝타임,회원점수,줄거리,제작비,수익,감독
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wShcJSKMFg1Dy1yq7kEZuay6pLS.jpg,Sri Asih,"Action, Adventure, Science Fiction, Fantasy, Drama",2h 14m,63.0,"Alana discover the truth about her origin: she’s not an ordinary human being. She may be the gift for humanity and become its protector as Sri Asih. Or a destruction, if she can’t control her anger.",4577403.0,,Upi Avianto
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/y2Aimt8isimtigec3e4kB2G9FMR.jpg,Hard Hit,"Action, Crime, Drama, Thriller",1h 34m,77.0,"On his way to work, a bank manager receives an anonymous call claiming there's a bomb under his car seat, and if anyone exits the car, it will explode unless he can pay a ransom.",,,Kim Chang-ju
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/5qcHcoJL3otMwJPKnbV5M3a1jQd.jpg,How to Date Billy Walsh,"Romance, Comedy",1h 38m,59.0,"Archie has been in love with his best friend Amelia for as long as he can remember. Just when he builds up the courage to declare his feelings, she falls head over heels for Billy Walsh, a new American transfer student.",,,Alex Pillai
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/cPSPghn6tr6fGY6hTi78SrxBcqY.jpg,Planet Dune,"Science Fiction, Horror, Adventure",1h 26m,38.0,A crew on a mission to rescue a marooned base on a desert planet turns deadly when the crew finds themselves hunted and attacked by the planet’s apex predators: giant sand worms.,,,Glenn Campbell
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/hkxxMIGaiCTmrEArK7J56JTKUlB.jpg,Godzilla Minus One,"Science Fiction, Horror, Action",2h 5m,78.0,"Postwar Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",13000000.0,105100000.0,Takashi Yamazaki
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/qhb1qOilapbapxWQn9jtRCMwXJF.jpg,Wonka,"Comedy, Family, Fantasy",1h 57m,72.0,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",632221453.0,,Paul King
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/87goLbbqrJqAxqDS5cBsik1zKT.jpg,Vikings: Battle of Heirs,Action,1h 22m,65.0,"A young Viking must come to terms with the realization that he may be the King's son, who was switched at birth, but not before others try to take his rightful place.",,,Robin Keane
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/8jJKM0ZR3GQo6E3CUkMKKVa4S8B.jpg,24 Hours with Gaspar,"Action, Crime, Drama, Mystery, Science Fiction, Thriller",1h 38m,64.0,"With only 24 hours left to live, a private investigator follows a trail of confounding clues to uncover the disappearance of his childhood friend.",,,Yosep Anggi Noen
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/fko8CPrnspewLXgFUlUkivyvpHX.jpg,Megamind vs. the Doom Syndicate,"Animation, Comedy, Science Fiction",1h 25m,54.0,"Megamind's former villain team, The Doom Syndicate, has returned. Our newly crowned blue hero must now keep up evil appearances until he can assemble his friends (Roxanne, Ol' Chum and Keiko) to stop his former evil teammates from launching Metro City to the Moon.",9.0,,Eric Fogel
https://media.themoviedb.org/t/p/w300_and_h450_bestv2/raNbLci95MJ3L3dMnG7L7bD37lY.jpg,Carmen 1945,Drama,1h 59m,40.0,"Prostitutes in burnt out Tokyo ghetto of post-WWII Japan peddle their flesh and save one-third of their money for a proposed dancehall to be named Paradise. The hookers live in a bombed-out building, but they accept the precarious situation with typical resolve.",,,Hideo Gosha
